ccaa,provincia,comarca,municipio
País Vasco,Araba/Álava,Llanada Alavesa,Agurain/Salvatierra
País Vasco,Araba/Álava,Llanada Alavesa,Alegría-Dulantzi
País Vasco,Araba/Álava,Cantábrica,Amurrio
País Vasco,Araba/Álava,Valles Alaveses,Añana
País Vasco,Araba/Álava,Estribaciones Gorbea,Aramaio
País Vasco,Araba/Álava,Valles Alaveses,Armiñón
País Vasco,Araba/Álava,Montaña Alavesa,Arraia-Maeztu
País Vasco,Araba/Álava,Llanada Alavesa,Arratzua-Ubarrundia
País Vasco,Araba/Álava,Cantábrica,Artziniega
País Vasco,Araba/Álava,Llanada Alavesa,Asparrena
País Vasco,Araba/Álava,Cantábrica,Ayala/Aiara
País Vasco,Araba/Álava,Rioja Alavesa,Baños de Ebro/Mañueta
País Vasco,Araba/Álava,Llanada Alavesa,Barrundia
País Vasco,Araba/Álava,Valles Alaveses,Berantevilla
País Vasco,Araba/Álava,Montaña Alavesa,Bernedo
País Vasco,Araba/Álava,Montaña Alavesa,Campezo/Kanpezu
País Vasco,Araba/Álava,Llanada Alavesa,Elburgo/Burgelu
País Vasco,Araba/Álava,Rioja Alavesa,Elciego
País Vasco,Araba/Álava,Rioja Alavesa,Elvillar/Bilar
País Vasco,Araba/Álava,Valles Alaveses,Erriberabeitia
País Vasco,Araba/Álava,Valles Alaveses,Erriberagoitia/Ribera Alta
País Vasco,Araba/Álava,Montaña Alavesa,Harana/Valle de Arana
País Vasco,Araba/Álava,Llanada Alavesa,Iruña Oka/Iruña de Oca
País Vasco,Araba/Álava,Llanada Alavesa,Iruraiz-Gauna
País Vasco,Araba/Álava,Rioja Alavesa,Kripan
País Vasco,Araba/Álava,Valles Alaveses,Kuartango
País Vasco,Araba/Álava,Rioja Alavesa,Labastida/Bastida
País Vasco,Araba/Álava,Montaña Alavesa,Lagrán
País Vasco,Araba/Álava,Rioja Alavesa,Laguardia
País Vasco,Araba/Álava,Rioja Alavesa,Lanciego/Lantziego
País Vasco,Araba/Álava,Valles Alaveses,Lantarón
País Vasco,Araba/Álava,Rioja Alavesa,Lapuebla de Labarca
País Vasco,Araba/Álava,Cantábrica,Laudio/Llodio
País Vasco,Araba/Álava,Estribaciones Gorbea,Legutio
País Vasco,Araba/Álava,Rioja Alavesa,Leza
País Vasco,Araba/Álava,Rioja Alavesa,Moreda de Álava/Moreda Araba
País Vasco,Araba/Álava,Rioja Alavesa,Navaridas
País Vasco,Araba/Álava,Cantábrica,Okondo
País Vasco,Araba/Álava,Rioja Alavesa,Oyón-Oion
País Vasco,Araba/Álava,Montaña Alavesa,Peñacerrada-Urizaharra
País Vasco,Araba/Álava,Rioja Alavesa,Samaniego
País Vasco,Araba/Álava,Llanada Alavesa,San Millán/Donemiliaga
País Vasco,Araba/Álava,Estribaciones Gorbea,Urkabustaiz
País Vasco,Araba/Álava,Valles Alaveses,Valdegovía/Gaubea
País Vasco,Araba/Álava,Rioja Alavesa,Villabuena de Álava/Eskuernaga
País Vasco,Araba/Álava,Llanada Alavesa,Vitoria-Gasteiz
País Vasco,Araba/Álava,Rioja Alavesa,Yécora/Iekora
País Vasco,Araba/Álava,Llanada Alavesa,Zalduondo
País Vasco,Araba/Álava,Valles Alaveses,Zambrana
País Vasco,Araba/Álava,Estribaciones Gorbea,Zigoitia
País Vasco,Araba/Álava,Estribaciones Gorbea,Zuia
Castilla - La Mancha,Albacete,Manchuela,Abengibre
Castilla - La Mancha,Albacete,Manchuela,Alatoz
Castilla - La Mancha,Albacete,Centro,Albacete
Castilla - La Mancha,Albacete,Hellín,Albatana
Castilla - La Mancha,Albacete,Manchuela,Alborea
Castilla - La Mancha,Albacete,Centro,Alcadozo
Castilla - La Mancha,Albacete,Manchuela,Alcalá del Júcar
Castilla - La Mancha,Albacete,Sierra Alcaraz,Alcaraz
Castilla - La Mancha,Albacete,Almansa,Almansa
Castilla - La Mancha,Albacete,Almansa,Alpera
Castilla - La Mancha,Albacete,Sierra Segura,Ayna
Castilla - La Mancha,Albacete,Centro,Balazote
Castilla - La Mancha,Albacete,Sierra Alcaraz,El Ballestero
Castilla - La Mancha,Albacete,Manchuela,Balsa de Ves
Castilla - La Mancha,Albacete,Centro,Barrax
Castilla - La Mancha,Albacete,Sierra Alcaraz,Bienservida
Castilla - La Mancha,Albacete,Sierra Segura,Bogarra
Castilla - La Mancha,Albacete,Almansa,Bonete
Castilla - La Mancha,Albacete,Mancha,El Bonillo
Castilla - La Mancha,Albacete,Manchuela,Carcelén
Castilla - La Mancha,Albacete,Centro,Casas de Juan Núñez
Castilla - La Mancha,Albacete,Sierra Alcaraz,Casas de Lázaro
Castilla - La Mancha,Albacete,Manchuela,Casas de Ves
Castilla - La Mancha,Albacete,Manchuela,Casas-Ibáñez
Castilla - La Mancha,Albacete,Almansa,Caudete
Castilla - La Mancha,Albacete,Manchuela,Cenizate
Castilla - La Mancha,Albacete,Centro,Chinchilla de Monte-Aragón
Castilla - La Mancha,Albacete,Centro,Corral-Rubio
Castilla - La Mancha,Albacete,Sierra Alcaraz,Cotillas
Castilla - La Mancha,Albacete,Sierra Segura,Elche de la Sierra
Castilla - La Mancha,Albacete,Sierra Segura,Férez
Castilla - La Mancha,Albacete,Mancha,Fuensanta
Castilla - La Mancha,Albacete,Almansa,Fuente-Álamo
Castilla - La Mancha,Albacete,Manchuela,Fuentealbilla
Castilla - La Mancha,Albacete,Centro,La Gineta
Castilla - La Mancha,Albacete,Manchuela,Golosalvo
Castilla - La Mancha,Albacete,Hellín,Hellín
Castilla - La Mancha,Albacete,Centro,La Herrera
Castilla - La Mancha,Albacete,Centro,Higueruela
Castilla - La Mancha,Albacete,Centro,Hoya-Gonzalo
Castilla - La Mancha,Albacete,Manchuela,Jorquera
Castilla - La Mancha,Albacete,Sierra Segura,Letur
Castilla - La Mancha,Albacete,Mancha,Lezuza
Castilla - La Mancha,Albacete,Hellín,Liétor
Castilla - La Mancha,Albacete,Manchuela,Madrigueras
Castilla - La Mancha,Albacete,Manchuela,Mahora
Castilla - La Mancha,Albacete,Sierra Alcaraz,Masegoso
Castilla - La Mancha,Albacete,Mancha,Minaya
Castilla - La Mancha,Albacete,Sierra Segura,Molinicos
Castilla - La Mancha,Albacete,Centro,Montalvos
Castilla - La Mancha,Albacete,Almansa,Montealegre del Castillo
Castilla - La Mancha,Albacete,Manchuela,Motilleja
Castilla - La Mancha,Albacete,Mancha,Munera
Castilla - La Mancha,Albacete,Manchuela,Navas de Jorquera
Castilla - La Mancha,Albacete,Sierra Segura,Nerpio
Castilla - La Mancha,Albacete,Hellín,Ontur
Castilla - La Mancha,Albacete,Mancha,Ossa de Montiel
Castilla - La Mancha,Albacete,Sierra Alcaraz,Paterna del Madera
Castilla - La Mancha,Albacete,Centro,Peñas de San Pedro
Castilla - La Mancha,Albacete,Sierra Alcaraz,Peñascosa
Castilla - La Mancha,Albacete,Centro,Pétrola
Castilla - La Mancha,Albacete,Sierra Alcaraz,Povedilla
Castilla - La Mancha,Albacete,,Pozo Cañada
Castilla - La Mancha,Albacete,Centro,Pozohondo
Castilla - La Mancha,Albacete,Manchuela,Pozo-Lorente
Castilla - La Mancha,Albacete,Centro,Pozuelo
Castilla - La Mancha,Albacete,Manchuela,La Recueja
Castilla - La Mancha,Albacete,Sierra Alcaraz,Riópar
Castilla - La Mancha,Albacete,Sierra Alcaraz,Robledo
Castilla - La Mancha,Albacete,Mancha,La Roda
Castilla - La Mancha,Albacete,Sierra Alcaraz,Salobre
Castilla - La Mancha,Albacete,Sierra Alcaraz,San Pedro
Castilla - La Mancha,Albacete,Sierra Segura,Socovos
Castilla - La Mancha,Albacete,Mancha,Tarazona de la Mancha
Castilla - La Mancha,Albacete,Hellín,Tobarra
Castilla - La Mancha,Albacete,Manchuela,Valdeganga
Castilla - La Mancha,Albacete,Sierra Alcaraz,Vianos
Castilla - La Mancha,Albacete,Manchuela,Villa de Ves
Castilla - La Mancha,Albacete,Mancha,Villalgordo del Júcar
Castilla - La Mancha,Albacete,Manchuela,Villamalea
