FUENTE: Ministerio de Agricultura, Pesca y Alimentación				
				
				
Alava				
				
	Comarca 01: Cantábrica			
				
	002	Amurrio		
	004	Artziniega		
	010	Ayala/Aiara		
	036	Llodio		
	042	Okondo		
				
	Comarca 02: Estribaciones Gorbea			
				
	003	Aramaio		
	058	Legutiano		
	054	Urkabustaiz		
	018	Zigoitia		
	063	Zuia		
				
	Comarca 03: Valles Alaveses			
				
	049	Añana		
	006	Armiñón		
	014	Berantevilla		
	020	Kuartango		
	902	Lantarón		
	046	Ribera Alta		
	047	Ribera Baja/Erribera Beitia		
	055	Valdegovía		
	062	Zambrana		
				
	Comarca 04: Llanada Alavesa			
				
	001	Alegría-Dulantzi		
	008	Arrazua-Ubarrundia		
	009	Asparrena		
	013	Barrundia		
	021	Elburgo/Burgelu		
	901	Iruña Oka/Iruña de Oca		
	027	Iruraiz-Gauna		
	051	Salvatierra o Agurain		
	053	San Millán/Donemiliaga		
	059	Vitoria-Gasteiz		
	061	Zalduondo		
				
	Comarca 05: Montaña Alavesa			
				
	037	Arraia-Maeztu		
	016	Bernedo		
	017	Campezo/Kanpezu		
	056	Harana/Valle de Arana		
	030	Lagrán		
	044	Peñacerrada-Urizaharra		
				
	Comarca 06: Rioja Alavesa			
				
	011	Baños de Ebro/Mañueta		
	022	Elciego		
	023	Elvillar/Bilar		
	019	Kripan		
	028	Labastida		
	031	Laguardia		
	032	Lanciego/Lantziego		
	033	Lapuebla de Labarca		
	034	Leza		
	039	Moreda de Álava		
	041	Navaridas		
	043	Oyón/Oion		
	052	Samaniego		
	057	Villabuena de Álava/Eskuernag		
	060	Yécora		
				
				
Albacete				
				
				
	Comarca 01: Mancha			
				
	019	Bonillo (El)		
	032	Fuensanta		
	043	Lezuza		
	048	Minaya		
	053	Munera		
	057	Ossa de Montiel		
	069	Roda (La)		
	073	Tarazona de la Mancha		
	078	Villalgordo del Júcar		
	081	Villarrobledo		
				
	Comarca 02: Manchuela			
				
	001	Abengibre		
	002	Alatoz		
	005	Alborea		
	007	Alcalá del Júcar		
	013	Balsa de Ves		
	020	Carcelén		
	023	Casas de Ves		
	024	Casas-Ibáñez		
	026	Cenizate		
	034	Fuentealbilla		
	036	Golosalvo		
	041	Jorquera		
	045	Madrigueras		
	046	Mahora		
	052	Motilleja		
	054	Navas de Jorquera		
	064	Pozo-Lorente		
	066	Recueja (La)		
	075	Valdeganga		
	077	Villa de Ves		
	079	Villamalea		
	082	Villatoya		
	083	Villavaliente		
				
	Comarca 03: Sierra Alcaraz			
				
	008	Alcaraz		
	014	Ballestero (El)		
	016	Bienservida		
	022	Casas de Lázaro		
	028	Cotillas		
	047	Masegoso		
	058	Paterna del Madera		
	059	Peñascosa		
	062	Povedilla		
	067	Riópar		
	068	Robledo		
	070	Salobre		
	071	San Pedro		
	076	Vianos		
	080	Villapalacios		
	084	Villaverde de Guadalimar		
	085	Viveros		
				
	Comarca 04: Centro			
				
	003	Albacete		
	006	Alcadozo		
	012	Balazote		
	015	Barrax		
	021	Casas de Juan Núñez		
	029	Chinchilla de Monte-Aragón		
	027	Corral-Rubio		
	035	Gineta (La)		
	038	Herrera (La)		
	039	Higueruela		
	040	Hoya-Gonzalo		
	050	Montalvos		
	060	Peñas de San Pedro		
	061	Pétrola		
	063	Pozohondo		
	065	Pozuelo		
				
	Comarca 05: Almansa			
				
	009	Almansa		
	010	Alpera		
	018	Bonete		
	025	Caudete		
	033	Fuente-Álamo		
